id_auditor;nome;cpf;crm;coren;especialidade
1;Antonieta Franco de Andrade;12345678901;15105;;Cardiologista
2;Luis Campos;74114395091;13660;;Neurologista
3;Tábata Ávila de Angola;08946245042;93834;;Ortopedista
4;Mateus Cleberson de Bittencourt Neto;38092133069;93667;;Oftalmologista
5;Lívia Talita Bezerra;96277197061;18860;;Otorrinolaringologista
6;Manuel Filipe Cruz;67269498040;70118;;Pneumologista
7;João Aragão de Fonseca;47678397003;27936;;Psiquiatra
8;Giovane Dominato de Ferreira;38137578030;47427;;Radiologista
9;Isabella Sabrina de Ferminiano;55262749003;65593;;Urologista
10;Andres Faria Grego;17264754090;78029;;Ginecologista
